Date,Location,Food_Category,Food_Item,Quantity_Produced,Quantity_Sold,Quantity_Wasted,Cost_Per_Unit,Revenue_Per_Unit,Temperature,Customers,Month,Month_Name,Day,Day_Name,Waste_Percentage,Financial_Loss,Total_Revenue,Potential_Revenue,Waste_Risk
2024-01-01 00:00:00.000000000,Mumbai,Vegetables,Tomato,171,154,17,63.72,102.72,22.2,137.0,1,January,1,Monday,9.941520467836257,1083.24,15818.88,17565.12,Low
2024-01-01 11:41:16.050700466,Mumbai,Prepared Food,Burger,249,188,61,97.29,183.17,24.7,241.0,1,January,1,Monday,24.497991967871485,5934.6900000000005,34435.96,45609.329999999994,Medium
2024-01-01 23:22:32.101400933,Hyderabad,Vegetables,Tomato,413,248,165,10.64,14.0,31.5,219.0,1,January,1,Monday,39.95157384987893,1755.6000000000001,3472.0,5782.0,High
2024-01-02 11:03:48.152101400,Mumbai,Vegetables,Spinach,463,308,155,98.49,160.22,38.9,184.0,1,January,2,Tuesday,33.477321814254864,15265.949999999999,49347.76,74181.86,High
2024-01-02 22:45:04.202801867,Bangalore,Prepared Food,Rice Bowl,487,355,132,96.91,180.82,26.7,102.0,1,January,2,Tuesday,27.104722792607806,12792.119999999999,64191.1,88059.34,Medium
2024-01-03 10:26:20.253502334,Delhi,Dairy,Butter,466,443,23,20.98,34.55,20.8,255.0,1,January,3,Wednesday,4.935622317596566,482.54,15305.65,16100.3,Low
2024-01-03 22:07:36.304202801,Bangalore,Bakery,Donut,459,383,76,38.05,63.32,32.0,359.0,1,January,3,Wednesday,16.55773420479303,2891.7999999999997,24251.56,29063.88,Medium
2024-01-04 09:48:52.354903268,Bangalore,Prepared Food,Pizza,317,217,100,94.55,182.14,33.2,353.0,1,January,4,Thursday,31.545741324921135,9455.0,39524.38,57738.38,High
2024-01-04 21:30:08.405603735,Chennai,Vegetables,Tomato,307,249,58,58.57,100.2,41.2,237.0,1,January,4,Thursday,18.892508143322477,3397.06,24949.8,30761.4,Medium
2024-01-05 09:11:24.456304202,Hyderabad,Vegetables,Tomato,256,154,102,24.87,32.6,29.3,178.0,1,January,5,Friday,39.84375,2536.7400000000002,5020.400000000001,8345.6,High
2024-01-05 20:52:40.507004669,Mumbai,Vegetables,Spinach,180,106,74,55.37,139.11,21.6,280.0,1,January,5,Friday,41.11111111111111,4097.38,14745.660000000002,25039.800000000003,High
2024-01-06 08:33:56.557705136,Delhi,Dairy,Milk,234,200,34,66.1,101.24,21.4,456.0,1,January,6,Saturday,14.529914529914532,2247.3999999999996,20248.0,23690.16,Low
2024-01-06 20:15:12.608405603,Delhi,Prepared Food,Pizza,459,286,173,52.5,72.65,35.7,306.0,1,January,6,Saturday,37.690631808278866,9082.5,20777.9,33346.350000000006,High
2024-01-07 07:56:28.659106070,Mumbai,Prepared Food,Sandwich,492,476,16,48.48,63.89,22.4,112.0,1,January,7,Sunday,3.2520325203252036,775.68,30411.64,31433.88,Low
2024-01-07 19:37:44.709806537,Chennai,Bakery,Donut,195,110,85,91.68,135.18,29.0,220.0,1,January,7,Sunday,43.58974358974359,7792.8,14869.800000000001,26360.100000000002,High
2024-01-08 07:19:00.760507004,Chennai,Prepared Food,Burger,259,212,47,36.08,50.98,40.5,94.0,1,January,8,Monday,18.146718146718147,1695.76,10807.76,13203.82,Medium
2024-01-08 19:00:16.811207471,Delhi,Bakery,Bread,127,112,15,26.79,51.57,31.9,397.0,1,January,8,Monday,11.811023622047244,401.84999999999997,5775.84,6549.39,Low
2024-01-09 06:41:32.861907938,Hyderabad,Bakery,Croissant,484,386,98,68.29,88.8,27.8,308.0,1,January,9,Tuesday,20.24793388429752,6692.420000000001,34276.799999999996,42979.2,Medium
2024-01-09 18:22:48.912608405,Chennai,Fruits,Apple,324,228,96,34.25,50.38,23.7,209.0,1,January,9,Tuesday,29.629629629629626,3288.0,11486.640000000001,16323.12,Medium
2024-01-10 06:04:04.963308872,Hyderabad,Bakery,Donut,417,414,3,96.62,142.64,30.9,162.0,1,January,10,Wednesday,0.7194244604316548,289.86,59052.95999999999,59480.88,Low
2024-01-10 17:45:21.014009339,Hyderabad,Prepared Food,Rice Bowl,286,269,17,97.9,155.44,20.7,273.0,1,January,10,Wednesday,5.944055944055944,1664.3000000000002,41813.36,44455.84,Low
2024-01-11 05:26:37.064709806,Mumbai,Bakery,Bread,225,124,101,57.78,93.23,32.2,296.0,1,January,11,Thursday,44.888888888888886,5835.78,11560.52,20976.75,High
2024-01-11 17:07:53.115410273,Mumbai,Vegetables,Carrot,283,277,6,31.79,59.2,30.3,147.0,1,January,11,Thursday,2.1201413427561837,190.74,16398.4,16753.600000000002,Low
2024-01-12 04:49:09.166110740,Hyderabad,Fruits,Orange,300,288,12,55.74,99.61,38.9,301.0,1,January,12,Friday,4.0,668.88,28687.68,29883.0,Low
2024-01-12 16:30:25.216811207,Mumbai,Fruits,Mango,445,438,7,82.86,127.94,22.1,466.0,1,January,12,Friday,1.5730337078651686,580.02,56037.72,56933.299999999996,Low
2024-01-13 04:11:41.267511674,Hyderabad,Dairy,Butter,366,351,15,58.73,104.95,25.0,193.0,1,January,13,Saturday,4.098360655737705,880.9499999999999,36837.450000000004,38411.700000000004,Low
2024-01-13 15:52:57.318212141,Hyderabad,Dairy,Butter,159,88,71,99.66,196.91,32.3,209.0,1,January,13,Saturday,44.65408805031446,7075.86,17328.079999999998,31308.69,High
2024-01-14 03:34:13.368912608,Hyderabad,Fruits,Orange,332,280,52,73.03,138.22,38.8,103.0,1,January,14,Sunday,15.66265060240964,3797.56,38701.6,45889.04,Medium
2024-01-14 15:15:29.419613075,Delhi,Bakery,Donut,174,166,8,80.68,142.67,32.8,161.0,1,January,14,Sunday,4.597701149425287,645.44,23683.219999999998,24824.579999999998,Low
2024-01-15 02:56:45.470313542,Hyderabad,Bakery,Croissant,448,391,57,24.47,41.21,35.2,257.0,1,January,15,Monday,12.723214285714285,1394.79,16113.11,18462.08,Low
2024-01-15 14:38:01.521014009,Delhi,Prepared Food,Rice Bowl,260,210,50,31.35,47.9,36.4,433.0,1,January,15,Monday,19.230769230769234,1567.5,10059.0,12454.0,Medium
2024-01-16 02:19:17.571714476,Hyderabad,Fruits,Apple,275,226,49,55.79,97.38,25.5,207.0,1,January,16,Tuesday,17.81818181818182,2733.71,22007.879999999997,26779.5,Medium
2024-01-16 14:00:33.622414943,Mumbai,Prepared Food,Pizza,126,102,24,41.51,72.71,34.7,366.0,1,January,16,Tuesday,19.047619047619047,996.24,7416.419999999999,9161.46,Medium
2024-01-17 01:41:49.673115410,Mumbai,Fruits,Mango,291,208,83,13.92,27.79,30.3,95.0,1,January,17,Wednesday,28.52233676975945,1155.36,5780.32,8086.889999999999,Medium
2024-01-17 13:23:05.723815877,Mumbai,Prepared Food,Sandwich,479,299,180,93.55,149.65,41.3,148.0,1,January,17,Wednesday,37.578288100208766,16839.0,44745.35,71682.35,High
2024-01-18 01:04:21.774516344,Delhi,Vegetables,Tomato,290,225,65,25.25,42.67,40.6,107.0,1,January,18,Thursday,22.413793103448278,1641.25,9600.75,12374.300000000001,Medium
2024-01-18 12:45:37.825216811,Bangalore,Fruits,Mango,387,386,1,99.1,138.55,31.4,435.0,1,January,18,Thursday,0.2583979328165375,99.1,53480.3,53618.850000000006,Low
2024-01-19 00:26:53.875917278,Hyderabad,Dairy,Milk,492,312,180,73.8,124.5,26.5,75.0,1,January,19,Friday,36.58536585365854,13284.0,38844.0,61254.0,High
2024-01-19 12:08:09.926617745,Hyderabad,Fruits,Banana,112,67,45,55.14,102.49,34.3,449.0,1,January,19,Friday,40.17857142857143,2481.3,6866.83,11478.88,High
2024-01-19 23:49:25.977318212,Delhi,Vegetables,Carrot,453,314,139,49.46,87.56,27.2,235.0,1,January,19,Friday,30.684326710816777,6874.9400000000005,27493.84,39664.68,High
2024-01-20 11:30:42.028018679,Bangalore,Prepared Food,Sandwich,157,134,23,13.36,25.06,27.9,493.0,1,January,20,Saturday,14.64968152866242,307.28,3358.04,3934.4199999999996,Low
2024-01-20 23:11:58.078719146,Chennai,Prepared Food,Rice Bowl,159,91,68,51.15,96.64,24.3,399.0,1,January,20,Saturday,42.76729559748428,3478.2,8794.24,15365.76,High
2024-01-21 10:53:14.129419613,Delhi,Fruits,Orange,243,145,98,97.26,175.09,20.9,169.0,1,January,21,Sunday,40.32921810699588,9531.480000000001,25388.05,42546.87,High
