Date,Location,Food_Category,Food_Item,Quantity_Produced,Quantity_Sold,Quantity_Wasted,Cost_Per_Unit,Revenue_Per_Unit,Temperature,Customers
2024-01-01 00:00:00.000000000,Mumbai,Vegetables,Tomato,171,154,17,63.72,102.72,22.2,137.0
2024-01-01 11:41:16.050700466,Mumbai,Prepared Food,Burger,249,188,61,97.29,183.17,24.7,241.0
2024-01-01 23:22:32.101400933,Hyderabad,Vegetables,Tomato,413,248,165,10.64,14.0,31.5,219.0
2024-01-02 11:03:48.152101400,Mumbai,Vegetables,Spinach,463,308,155,98.49,160.22,38.9,184.0
2024-01-02 22:45:04.202801867,Bangalore,Prepared Food,Rice Bowl,487,355,132,96.91,180.82,26.7,102.0
2024-01-03 10:26:20.253502334,Delhi,Dairy,Butter,466,443,23,20.98,34.55,20.8,255.0
2024-01-03 22:07:36.304202801,Bangalore,Bakery,Donut,459,383,76,38.05,63.32,32.0,359.0
2024-01-04 09:48:52.354903268,Bangalore,Prepared Food,Pizza,317,217,100,94.55,182.14,33.2,353.0
2024-01-04 21:30:08.405603735,Chennai,Vegetables,Tomato,307,249,58,58.57,100.2,41.2,237.0
2024-01-05 09:11:24.456304202,Hyderabad,Vegetables,Tomato,256,154,102,24.87,32.6,29.3,178.0
2024-01-05 20:52:40.507004669,Mumbai,Vegetables,Spinach,180,106,74,,139.11,21.6,280.0
2024-01-06 08:33:56.557705136,Delhi,Dairy,Milk,234,200,34,66.1,101.24,21.4,456.0
2024-01-06 20:15:12.608405603,Delhi,Prepared Food,Pizza,459,286,173,52.5,72.65,35.7,306.0
2024-01-07 07:56:28.659106070,Mumbai,Prepared Food,Sandwich,492,476,16,48.48,63.89,22.4,112.0
2024-01-07 19:37:44.709806537,Chennai,Bakery,Donut,195,110,85,91.68,135.18,29.0,220.0
2024-01-08 07:19:00.760507004,Chennai,Prepared Food,Burger,259,212,47,36.08,50.98,40.5,94.0
2024-01-08 19:00:16.811207471,Delhi,Bakery,Bread,127,112,15,26.79,51.57,31.9,397.0
2024-01-09 06:41:32.861907938,Hyderabad,Bakery,Croissant,484,386,98,68.29,88.8,27.8,308.0
2024-01-09 18:22:48.912608405,Chennai,Fruits,Apple,324,228,96,34.25,50.38,23.7,209.0
2024-01-10 06:04:04.963308872,Hyderabad,Bakery,Donut,417,414,3,96.62,142.64,30.9,162.0
2024-01-10 17:45:21.014009339,Hyderabad,Prepared Food,Rice Bowl,286,269,17,97.9,155.44,20.7,273.0
2024-01-11 05:26:37.064709806,Mumbai,Bakery,Bread,225,124,101,57.78,93.23,32.2,296.0
2024-01-11 17:07:53.115410273,Mumbai,Vegetables,Carrot,283,277,6,31.79,59.2,30.3,147.0
2024-01-12 04:49:09.166110740,Hyderabad,Fruits,Orange,300,288,12,55.74,99.61,38.9,301.0
2024-01-12 16:30:25.216811207,Mumbai,Fruits,Mango,445,438,7,82.86,127.94,22.1,466.0
2024-01-13 04:11:41.267511674,Hyderabad,Dairy,Butter,366,351,15,58.73,104.95,25.0,193.0
2024-01-13 15:52:57.318212141,Hyderabad,Dairy,Butter,159,88,71,99.66,196.91,32.3,209.0
2024-01-14 03:34:13.368912608,Hyderabad,Fruits,Orange,332,280,52,73.03,138.22,38.8,103.0
2024-01-14 15:15:29.419613075,Delhi,Bakery,Donut,174,166,8,80.68,142.67,32.8,161.0
2024-01-15 02:56:45.470313542,Hyderabad,Bakery,Croissant,448,391,57,24.47,41.21,35.2,257.0
2024-01-15 14:38:01.521014009,Delhi,Prepared Food,Rice Bowl,260,210,50,31.35,47.9,36.4,433.0
2024-01-16 02:19:17.571714476,Hyderabad,Fruits,Apple,275,226,49,55.79,97.38,25.5,207.0
2024-01-16 14:00:33.622414943,Mumbai,Prepared Food,Pizza,126,102,24,41.51,72.71,34.7,366.0
2024-01-17 01:41:49.673115410,Mumbai,Fruits,Mango,291,208,83,13.92,27.79,30.3,95.0
2024-01-17 13:23:05.723815877,Mumbai,Prepared Food,Sandwich,479,299,180,93.55,149.65,41.3,148.0
2024-01-18 01:04:21.774516344,Delhi,Vegetables,Tomato,290,225,65,25.25,42.67,40.6,107.0
2024-01-18 12:45:37.825216811,Bangalore,Fruits,Mango,387,386,1,99.1,138.55,31.4,435.0
2024-01-19 00:26:53.875917278,Hyderabad,Dairy,Milk,492,312,180,73.8,124.5,26.5,75.0
2024-01-19 12:08:09.926617745,Hyderabad,Fruits,Banana,112,67,45,55.14,102.49,34.3,449.0
2024-01-19 23:49:25.977318212,Delhi,Vegetables,Carrot,453,314,139,49.46,87.56,27.2,235.0
2024-01-20 11:30:42.028018679,Bangalore,Prepared Food,Sandwich,157,134,23,13.36,25.06,27.9,493.0
2024-01-20 23:11:58.078719146,Chennai,Prepared Food,Rice Bowl,159,91,68,51.15,96.64,24.3,399.0
2024-01-21 10:53:14.129419613,Delhi,Fruits,Orange,243,145,98,97.26,175.09,20.9,169.0
2024-01-21 22:34:30.180120080,Bangalore,Fruits,Mango,445,360,85,17.28,27.64,35.1,178.0
2024-01-22 10:15:46.230820547,Hyderabad,Dairy,Cheese,338,218,120,31.58,43.13,24.0,286.0
2024-01-22 21:57:02.281521014,Chennai,Prepared Food,Rice Bowl,291,228,63,65.05,103.67,25.5,193.0
2024-01-23 09:38:18.332221481,Hyderabad,Fruits,Apple,384,279,105,18.47,28.04,41.5,253.0
2024-01-23 21:19:34.382921948,Chennai,Dairy,Cheese,138,110,28,25.59,41.04,28.8,59.0
2024-01-24 09:00:50.433622415,Bangalore,Prepared Food,Burger,279,247,32,11.38,22.23,31.0,374.0
2024-01-24 20:42:06.484322881,Bangalore,Prepared Food,Burger,483,424,59,94.62,161.12,28.5,429.0
2024-01-25 08:23:22.535023348,Chennai,Bakery,Bread,278,194,84,94.73,148.75,41.1,379.0
2024-01-25 20:04:38.585723815,Chennai,Fruits,Mango,496,283,213,19.07,25.03,22.1,84.0
2024-01-26 07:45:54.636424282,Chennai,Bakery,Cake,189,136,53,33.46,55.12,35.2,163.0
2024-01-26 19:27:10.687124749,Chennai,Prepared Food,Pizza,475,424,51,47.62,94.16,32.1,406.0
2024-01-27 07:08:26.737825216,Mumbai,Bakery,Donut,276,249,27,,73.56,37.1,201.0
2024-01-27 18:49:42.788525683,Hyderabad,Prepared Food,Burger,282,167,115,76.59,112.34,28.3,418.0
2024-01-28 06:30:58.839226150,Hyderabad,Vegetables,Spinach,441,382,59,90.6,142.46,20.2,282.0
2024-01-28 18:12:14.889926617,Hyderabad,Fruits,Mango,383,337,46,53.43,87.9,21.8,118.0
2024-01-29 05:53:30.940627084,Hyderabad,Fruits,Mango,478,474,4,77.71,144.08,37.4,158.0
2024-01-29 17:34:46.991327551,Bangalore,Prepared Food,Sandwich,497,495,2,15.03,27.29,32.0,380.0
2024-01-30 05:16:03.042028018,Delhi,Dairy,Yogurt,108,68,40,85.33,162.71,38.4,223.0
2024-01-30 16:57:19.092728485,Bangalore,Prepared Food,Burger,492,447,45,90.27,126.61,31.3,471.0
2024-01-31 04:38:35.143428952,Chennai,Fruits,Mango,420,316,104,83.15,163.23,41.7,181.0
2024-01-31 16:19:51.194129419,Delhi,Vegetables,Potato,374,312,62,60.26,96.23,39.9,88.0
2024-02-01 04:01:07.244829886,Chennai,Fruits,Apple,341,312,29,15.07,20.84,22.6,410.0
2024-02-01 15:42:23.295530353,Chennai,Bakery,Croissant,447,434,13,46.02,75.22,21.8,466.0
2024-02-02 03:23:39.346230820,Bangalore,Prepared Food,Sandwich,143,122,21,97.29,129.42,39.6,423.0
2024-02-02 15:04:55.396931287,Delhi,Prepared Food,Pizza,328,326,2,97.24,162.02,33.8,63.0
2024-02-03 02:46:11.447631754,Mumbai,Bakery,Bread,243,219,24,14.09,21.09,40.9,407.0
2024-02-03 14:27:27.498332221,Delhi,Vegetables,Spinach,472,266,206,25.27,44.29,28.5,365.0
2024-02-04 02:08:43.549032688,Delhi,Dairy,Butter,456,290,166,33.4,54.02,20.7,250.0
2024-02-04 13:49:59.599733155,Delhi,Bakery,Bread,319,315,4,91.98,172.53,40.9,305.0
2024-02-05 01:31:15.650433622,Hyderabad,Prepared Food,Pizza,109,88,21,87.95,117.12,20.6,338.0
2024-02-05 13:12:31.701134089,Hyderabad,Bakery,Cake,366,285,81,,122.01,38.2,226.0
